id	input	joke
en_04666	Boss waves while passing by	Employee wonders if theyre fired or promoted or hallucinating.
en_04667	Professor says There will be a surprise quiz"	Entire class experiences a synchronized heart attack.
en_04668	Student turns in assignment early	Professor still grades it last just to maintain dominance.
en_04669	Employee finally organizes their desk	Boss immediately gives them more paperwork to ruin it.
en_04670	Coworker explains something confusing	Ends with You know what I mean? No one knows what they mean.
en_04671	Student submits assignment	Immediately spots the biggest most embarrassing mistake of their life.
en_04672	Office HR schedules a mandatory meeting	Everyone prays it's not another team bonding activity.
en_04673	Professor asks class to participate	Entire room suddenly becomes deaf mute and intensely fascinated by the floor.
en_04674	Student goes to library for productivity	Ends up scrolling memes for 3 hours with outstanding academic confidence.
en_04675	Employee opens Excel	Accidentally turns one cell bold and ruins the entire formatting of humanity.
en_04676	Coworker says Hope you're well"	Employee is not well but appreciates the formality.
en_04677	Professor writes complicated formula on board	Students quietly accept their fate while pretending to understand.
en_04678	Boss announces mandatory fun day"	Employees secretly mourn the loss of productivity.
en_04679	Student joins online class late	Professor acts like they just walked onto a stage.
en_04680	Coworker says let's grab coffee"	Employee knows it will be a 2-hour venting session.
en_04681	Sports coach promises light practice"	Team immediately regrets trusting him.
en_04682	Boss asks for updates on a project	Employee responds with a detailed story about lunch.
en_04683	Student forgets homework at home	Classmates nod in silent solidarity.
en_04684	Employee sends email with per my last email"	Coworkers interpret it as a threat.
en_04685	Sports team loses by 1 point	Everyone blames the referee the coach and the wind.
en_04686	Boss says we're a family here"	Employees quietly plan an escape route.
en_04687	Student studies for 5 minutes	Brain announces its time for a Netflix marathon.
en_04688	Employee finishes a task early	Boss immediately adds five more.
en_04689	Sports player promises I won't miss this time"	Ball hits them in the face anyway.
en_04690	Boss schedules 8 AM meeting	Employees pretend to be experts in time travel.
en_04691	Student opens textbook	Falls asleep within 2 minutes dreams of pizza.
en_04692	Coworker shares a meme	Everyone laughs more than they should during work hours.
en_04693	Sports referee blows whistle	Player protests Coach sighs Spectator records everything.
en_04694	Boss says think outside the box"	Employee immediately imagines themselves in a cardboard box.
en_04695	Student forgets password	Spends 30 minutes trying to convince the system they exist.
en_04696	Employee accidentally replies-all	Entire office experiences mild panic.
en_04697	Sports announcer says unbelievable play"	Replay shows player tripped over their own shoelace.
en_04698	Boss emails quick question"	Employee drafts a 3-page essay in response.
en_04699	Student studies with group	Everyone secretly counts how many snacks they can eat first.
en_04700	Employee attends team-building	Leaves with more stress than bonding.
en_04701	Sports team schedules morning practice	Everyone sleeps through their alarms anyway.
en_04702	Boss says we value feedback"	Employees prepare vague compliments and sarcasm.
en_04703	Student asks for extension	Professor sighs like theyve done this 1000 times.
en_04704	Employee says I'll handle it"	Boss immediately checks if they survived.
en_04705	Sports coach shouts push harder"	Players push less and complain more.
en_04706	Boss schedules brainstorming session	Employees prepare to doodle for 2 hours.
en_04707	Student receives exam results	Heart rate spikes like they just ran a marathon.
en_04708	Coworker whispers Did you hear?""	Entire office becomes a detective agency.
en_04709	Sports player misses penalty	Fans blame physics and fate simultaneously.
en_04710	Boss emails for visibility"	Employee questions the meaning of life and email etiquette.
en_04711	Student opens syllabus	Immediately regrets not dropping the course.
en_04712	Employee brings homemade lunch	Everyone pretends it smells better than it does.
en_04713	Sports announcer says record-breaking game"	Replay shows record of tripping the most times.
en_04714	Boss says deadline is flexible"	Employees laugh then cry quietly.
en_04715	Student procrastinates for hours	Suddenly remembers assignment is due tomorrow morning.
en_04716	Employee accidentally deletes file	Heart stops - sweat begins IT says good luck.
en_04717	Sports team celebrates win	Coach calculates how many injuries they need to survive next match.
en_04718	Boss asks for opinion	Employee debates whether honesty will get them fired.
en_04719	Student prepares presentation	Laptop crashes Panic becomes skill.
en_04720	Coworker says we need a plan"	Everyone nods while secretly hoping someone else makes one.
en_04721	Sports player tries fancy trick	Ends up embarrassing themselves Crowd cheers anyway.
en_04722	Boss says open-door policy"	Employees only use it to peek and leave quickly.
en_04723	Student reads assignment instructions	Feels like deciphering ancient hieroglyphics.
en_04724	Employee gets praised	Immediately suspects something terrible is coming next.
en_04725	Sports referee calls foul	Players argue like its a philosophical debate.
en_04726	Boss schedules quarterly review	Employees wonder if it counts as cardio from stress.
en_04727	Student asks question in class	Professor answers with another question Student silently questions existence.
en_04728	Boss announces surprise weekend project	Employees debate whether surviving the weekend counts as overtime or heroism.
en_04729	Student tries to write essay at 2 AM	Coffee spills; laptop dies; brain files for early retirement.
en_04730	Coworker suggests team synergy exercise""	Employees nod politely while mentally preparing excuses to hide in the supply closet.
en_04731	Sports coach promises a short practice""	Players arrive 3 hours later questioning why sweat exists.
en_04732	Boss says let's brainstorm""	Employee brings ideas — Boss responds with Can we think bigger? — Employee considers quitting the entire idea-generation industry.
en_04733	Student studies algebra	Brain suddenly protests; Netflix sends a notification; The dog judges all life choices.
en_04734	Employee accidentally hits Reply All""	Entire office simultaneously imagines themselves in a witness protection program.
en_04735	Sports player misses open goal	Crowd collectively gasps — Coach whispers I trusted you — Player whispers back I trusted gravity.
en_04736	Boss schedules 6 AM meeting	Employees arrive 2 hours late — Boss emails Thanks for being punctual — Everyone deletes the message immediately.
en_04737	Student forgets assignment due date	Googles time travel options — Realizes coffee cant fix this one.
en_04738	Coworker says Let's have a quick sync""	45 minutes later everyone wonders if they accidentally joined a therapy session.
en_04739	Sports referee calls offside	Player argues while kicking imaginary physics equations — Crowd updates Twitter with detailed diagram.
en_04740	Boss asks for progress report	Employee submits pie chart of snacks consumed during work hours — Boss pretends its insightful.
en_04741	Student opens exam paper	Heart stops; Brain calculates probability of survival; Pencil screams silently.
en_04742	Employee accidentally sends meme to client	Client laughs hysterically — Boss considers whether this counts as brand innovation.
en_04743	Sports team prepares for practice in pouring rain	Players arrive in full rain gear — Coach arrives in sunglasses — Predictably no one wins.
en_04744	Boss says We need more collaboration""	Employees invent complex signals involving sticky notes hand gestures and interpretive dance.
en_04745	Student joins online lecture	Internet lags — Professor freezes mid-sentence — Everyone collectively learns patience through suffering.
en_04746	Employee asks for clarification	Boss answers with three unrelated metaphors — Employee nods as if suddenly enlightened in quantum management theory.
en_04747	Sports announcer yells Incredible!""	Replay shows player tripping over their own shoelaces while still managing to score accidentally.
